0,1,"１年を超え
２年以内","２年を超え
３年以内","３年を超え
４年以内","４年を超え
５年以内"
1.85,1.85,1.9,1.95,2.05,
1.95,1.95,2.0,2.05,2.15,2.2
2.05,2.1,2.1,2.15,2.25,2.3
2.2,2.2,2.2,2.25,2.35,2.4
2.3,2.3,2.35,2.35,2.45,2.5
2.4,2.4,2.45,2.45,2.5,2.6
2.5,2.5,2.55,2.55,2.6,2.65
2.6,2.6,2.65,2.65,2.7,2.75
2.7,2.7,2.7,2.75,2.8,2.8
2.75,2.8,2.8,2.8,2.85,2.9
2.85,2.85,2.85,2.9,2.95,2.95
2.9,2.95,2.95,2.95,3.0,3.05
3.0,3.0,3.0,3.05,3.05,3.1
3.05,3.05,3.05,3.1,3.1,3.15
3.1,3.1,3.1,3.15,3.15,3.2
3.15,3.15,3.15,3.2,3.2,3.25
3.2,3.2,3.2,3.25,3.25,3.3
3.25,3.25,3.25,3.3,3.3,3.3
3.3,3.3,3.3,3.35,3.35,3.35
3.35,3.35,3.35,3.4,3.4,3.4
3.4,3.4,3.4,3.45,3.45,3.45
3.45,3.45,3.45,3.45,3.5,3.5
3.5,3.5,3.5,3.5,3.55,3.55
3.55,3.55,3.55,3.55,3.55,3.6
3.6,3.6,3.6,3.6,3.6,3.6
3.6,3.6,3.6,3.6,3.65,3.65
